tweet_id,created_at,customer_text,response_text,weak_suggestion,human_intent,human_auto_handle,human_reply_score,human_notes
1590551,Sat Nov 04 20:15:16 +0000 2017,@AppleSupport I got a new phone earlier today and I  restored it from my iTunes 2 hours ago and still no apps have downloaded??,@389228 We are here to help. DM us your iOS version and we can take a look at this for you. https://t.co/GDrqU22YpT,app_service_issue,app_service_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1617823,Sun Nov 05 05:04:33 +0000 2017,"Hey @115858 &amp; @AppleSupport, why is my phone changing my capital I️’s into question marks???",@496050 We are aware of this issue and are working hard to find a resolution. We do have a workaround: https://t.co/xXaXeeSRt9,other,other,yes,5,Response directly addresses the stated issue with an actionable answer or appropriate resource.
53553,Wed Nov 01 18:28:47 +0000 2017,@AppleSupport I did. It took multiple attempts to finally get it to the restore/reset option. I wiped it Bc my last backup had the passcode on already.Thx,@128101 You're welcome. Let us know if we can help in the future.,order_purchase,device_issue,no,2,Response is too generic or does not provide enough information to resolve the stated issue. Intent corrected from weak suggestion to device_issue based on the customer request.
1889362,Sun Oct 22 08:41:49 +0000 2017,Just wanted to reiterate this @AppleSupport - new podcast app is terrible-the constant crashes-battery going from 80 to 0% for no reason 😔 https://t.co/qNJudEVRL6,@563444 We'd like to work together and get things resolved. Please send us a DM with the iOS version from Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1906030,Wed Oct 25 09:46:53 +0000 2017,"@AppleSupport yo iOS 11 is sooooo buggy and it’s making my phone crash every 20 minutes, rendering it useless amongst other issues 👎🏼👎🏼",@567954 Thanks for reaching out! That’s not the experience we want you to have. Let us know all the issues in DM so we can help. https://t.co/GDrqU22YpT,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1170839,Sun Oct 15 13:32:12 +0000 2017,"@AppleSupport why following the initial recent update does the WiFi keep turning itself on, even after expressly turning it off #iphone6s",@395371 We can help. Are you turning off Wi-Fi in the Control Center?,device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
81988,Thu Nov 30 04:52:02 +0000 2017,Okay but why has my iPhone 6 battery been dying 500x faster since installing IOS11?? 🙃 @AppleSupport,@134140 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into your battery issue with you. https://t.co/GDrqU22YpT,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
82011,Thu Nov 30 04:32:30 +0000 2017,@AppleSupport imma need y’all to fix this “I.T” thing . cause i’m about tired . keyboard shortcut trick doesn’t work 🤷🏽‍♀️,@134149 That is certainly not the experience we want you to have. Which iOS version is your device running? https://t.co/GDrqU22YpT,other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2447573,Wed Nov 15 01:42:44 +0000 2017,"@AppleSupport i’m currently on 11.1.1, any other suggestions https://t.co/dpWcId3Voz","@701604 To clarify, are you still seeing the auto-correct issue when typing from your iPhone after updating to iOS 11.1.1, or are you only seeing it in someone else’s response?",other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1355453,Fri Oct 27 17:00:13 +0000 2017,@AppleSupport is the maps app not working or am I just that lucky?,@436063 We're here for you. Can you provide us some detail about what's going on with Maps?,app_service_issue,app_service_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1867558,Fri Oct 20 20:23:07 +0000 2017,@AppleSupport Why does this always happen? This is my second cord this month. I don’t have money to keep replacing them :/ https://t.co/MpG7aXdQLP,@302867 We know how important it is to be able to keep your devices powered up. Send us a DM and we'll be happy to look at options. https://t.co/GDrqU22YpT,billing_payment,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up. Intent corrected from weak suggestion to device_issue based on the customer request."
859754,Fri Oct 13 11:01:50 +0000 2017,"@AppleSupport please let us roll back to ios10. iOS 11 is NOTHING but a headache. Music won’t play, phone restarts/crashes/freezes",@139270 We are here to help. DM us your exact iOS version and we can take a look. https://t.co/GDrqU22YpT,device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2057541,Fri Oct 06 21:51:38 +0000 2017,Congrats to @116333 and all the people at Apple for destroying my battery life with iOS 11,@608531 We'd be happy to see how we can help with your battery. Send us a DM with details and we'll go from there. https://t.co/GDrqU22YpT,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2616665,Fri Nov 17 06:21:58 +0000 2017,@115858 you need to fix this “A” shit when I️ put mf “I️”,@739579 Let's backup your device then update to the newest version. There is a fix for this.,other,other,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
2594408,Fri Nov 17 02:22:26 +0000 2017,@115858 @AppleSupport sooo are we ever gonna do anything about this I️,"@734662 We've released an update that includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards.",other,other,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
633848,Wed Nov 22 16:21:35 +0000 2017,@115858 I'm so mad holy fuck attendance COUNTS in my classes this morning.,@270244 Hi there. Let's find out together why your alarms didn't wake you. Please send us a DM with a few details and we'll get started. Tap here to continue: https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
862755,Fri Oct 13 17:37:50 +0000 2017,@AppleSupport Automatically*,@324862 We would be glad to help. Are you turning both on using the Control Center?,other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1173958,Tue Oct 24 19:55:39 +0000 2017,"Dear @115858 ,

No one ever says “what the duck” or “he’ll yeah” can someone please fix this? 

#whattheduckingduck",@396124 We'd like to help! Go ahead and reach out to us in DM and we'll continue there. https://t.co/GDrqU2kzhr,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1080468,Mon Oct 23 21:01:40 +0000 2017,@AppleSupport Tried restarting same issue. Both types of messages.,"@374881 Do the messages contain photos, just text or both?",device_issue,device_issue,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
695288,Thu Nov 23 12:29:31 +0000 2017,"I’ve had this iPhone 6s Plus for a couple of years now, it’s been working fine but recently after a few updates it’s become extremely slow and buggy, my phone’s not even half full, I don’t think this is a coincidence @AppleSupport frauds","@285824 We certainly want your iPhone to work as expected after an update, and we'd be happy to help. Please send us a DM with your current iOS version, and we'll get started. You can check by navigating to Settings &gt; General &gt; About: https://t.co/ZTw54HL4Rm",device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
660493,Wed Nov 22 23:52:51 +0000 2017,@AppleSupport how do I recover a deleted number,@277332 Thanks for reaching out. Please DM us which device is having the issue. We'll start there. https://t.co/GDrqU22YpT,technical_howto,technical_howto,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed. Intent corrected from weak suggestion to technical_howto based on the customer request.
321755,Sat Oct 07 04:07:01 +0000 2017,I really hate it when you plug your iPhone into a legit cable and it tells you the accessory is unsupported. @115858,@192647 We'd like help. Let’s try any steps you haven’t tried here (at bottom): https://t.co/uqxquyfdn0 Let us know the outcome.,device_issue,device_issue,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
594624,Sun Dec 03 17:48:39 +0000 2017,"Since iOS 11.2, my iPhone 7 has become way faster than before (perhaps even better than iOS 10). That’s great, but now it is warming a lot and I am still disappointed by the battery life (Location Services off (even the system ones) and background app refresh off). @AppleSupport","@260877 We're happy to hear that it seems to have resolved the speed issues, and we're glad you're here so we can look into what's going on with your iPhone's battery. Since support options vary by location, DM us which country you're in and we'll get started. https://t.co/GDrqU22YpT",device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1341771,Fri Oct 27 16:02:56 +0000 2017,@AppleSupport I pressed the home button/Touch ID trying to exit the app.,@432963 Great! We're glad to here that worked for you. Feel free to reach out to us again if you need us.,other,other,yes,5,Response directly addresses the stated issue with an actionable answer or appropriate resource.
773523,Thu Oct 12 03:49:07 +0000 2017,"@AppleSupport I already did the steps that indicates the link and still Magic Mouse doesn’t work correctly, since upgrading to High Sierra this happens 😩",@304774 Thanks for working through those steps. Let's meet up in DM and continue our troubleshooting there. https://t.co/GDrqU22YpT,technical_howto,technical_howto,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2256433,Thu Oct 19 17:32:01 +0000 2017,@AppleSupport hi. Keep getting remote hotspot failure between iPad Pro and iPhone 7. Both on iOS 11.0.3,@392711 Let's see what's going with the hotspot. Can you tell us more info on what happens when you try to use it?,device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
693940,Thu Nov 23 09:56:50 +0000 2017,So I just took my phone off charge 100% it’s now 77% and all my apps are closed and screen brightness is down.....@AppleSupport this isn’t because of a software update,@285461 Hi there. We're here to help you. DM us and tell us which version of iOS you're running. Find that under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,billing_payment,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up. Intent corrected from weak suggestion to device_issue based on the customer request."
302275,Fri Oct 06 22:52:56 +0000 2017,@AppleSupport do something about IOS because the phone is not running well as it supposed to,"@188126 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2955428,Wed Nov 29 18:48:21 +0000 2017,"@AppleSupport I can put in English ;)
What’s wrong with #Apple music ?? Can’t seem to even activate it. Screen remains blank.","@815839 We're happy to look into this with you. Do other apps, such as the App Store or iTunes Store load properly?",device_issue,device_issue,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
2212893,Fri Nov 10 03:41:55 +0000 2017,"@115858, please help my phone. The I️ on this keyboard turns into something comical. And frustrating.",@646726 We've recently released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's how to create a backup and update your iOS software: https://t.co/80YRnjDFDk Let us know if this helps through DM. https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1082429,Mon Oct 23 15:37:31 +0000 2017,"@AppleSupport since the iOS 11 updates, my phone freezes all the time and is much slower!!","@375326 We want your iPhone to work properly, and we're here for you. Which apps are giving you trouble? DM us with details here: https://t.co/GDrqU22YpT",status_followup,status_followup,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
286870,Fri Oct 06 11:00:22 +0000 2017,"@AppleSupport What sucks is when iTunes downloads duplicates, the ones I delete from iTunes on my computer may be different from ones on phone.",@184353 Thanks for bringing this to our attention. Please click here to meet us in DM. We'll continue there: https://t.co/GDrqU22YpT,app_service_issue,app_service_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
542370,Sat Dec 02 07:46:04 +0000 2017,Same ISSUE @AppleSupport !!! https://t.co/CsTJkjhW3x,"@245878 We can help out. We need to get you updated to iOS 11.2. The process is going to be a little different from a typical update. Use the instructions here: https://t.co/osZOKKTalm

Before updating, make sure you have a current backup. Tell us in DM if the issue continues: https://t.co/GDrqU22YpT",other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1691817,Mon Nov 06 18:43:50 +0000 2017,@AppleSupport Hahaha omg. https://t.co/3k8sdzYwPC,@513539 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,other,other,yes,5,Response directly addresses the stated issue with an actionable answer or appropriate resource.
720692,Fri Oct 06 08:25:03 +0000 2017,@AppleSupport I have restarted my device many times since and the issue is still present. I'm not the only one seeing this: https://t.co/4GzXPn46ES,"@292490 Have you already updated to our latest release, iOS 11.0.2? https://t.co/ahjigcvFRG Let us know in DM. https://t.co/GDrqU22YpT",device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2185559,Thu Nov 09 16:44:55 +0000 2017,I’ve never had a bad experience at @115858 until today and I’m so disappointed,@640075 We'd like to hear about your experience. Send us a DM and tell us what's going on. https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2295661,Sun Nov 12 19:47:40 +0000 2017,@AppleSupport @116333 multiple friends faced the Apple logo boot loop on iOS 11.1. What is going on??,@342778 We're happy to look into any issues you may be experiencing. Here is some troubleshooting steps to try. Please DM us if you are still having trouble. https://t.co/iYLZzFD8qZ,other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1726255,Tue Nov 07 03:16:56 +0000 2017,@AppleSupport what’s with all these I️ symbols? Fix this please,@522085 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,other,other,yes,5,Response directly addresses the stated issue with an actionable answer or appropriate resource.
336570,Sat Oct 07 20:08:48 +0000 2017,"#ios11 @AppleSupport 
native mail app on 6s+miserable ios11 keeps showing unread count, but when you go to look, no new mail 

for f sake😡👎🏼",@196301 We'd be happy to help. Are you experiencing this issue on the latest version of iOS 11.0.2?,other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1624992,Sun Nov 05 12:09:00 +0000 2017,@115858 wtf https://t.co/4Ck5XP2Hi8,@497659 We want to help. Does this behavior occur after restarting your iPhone? What iOS version is installed?,other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
685804,Thu Nov 23 04:30:04 +0000 2017,@115858 I think there is some issue with #Safari lot of website links are not opening. Kindly look into it.,@283706 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
926439,Fri Oct 13 21:25:49 +0000 2017,"@AppleSupport ever since I downloaded iOS11 my phone crashes 4/5 times I open an app, and my phone calls don’t work","@339824 Definitely not what we want to hear, but we can help! What type of iPhone do you have and which version of iOS 11 do you have?",device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
586940,Sun Dec 03 12:51:45 +0000 2017,@AppleSupport where is this apple pay cash in the uk  downloaded 11.2 and again nothing there why ?,"@258609 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",app_service_issue,app_service_issue,no,2,Response is too generic or does not provide enough information to resolve the stated issue. Intent corrected from weak suggestion to app_service_issue based on the customer request.
2444188,Tue Nov 14 23:49:48 +0000 2017,@AppleSupport my AirPods will not work with my iPhone X ON CALLS ONLY.  Music is fine. Tried multiple sets / all the same. This must be a bug.  Help?,@623257 We want you to be able to enjoy those AirPods under every circumstance. Are you updated to iOS 11.1.1? Check at Settings &gt; General &gt; About.,device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1435830,Thu Nov 02 07:41:26 +0000 2017,"@115858 this problem is still not solved. 1. The emoji panel blocks the textbox. 2. Emoji are not showing up, they’re “...” instead. https://t.co/oGzjSY3c6I","@453338 Hey, let's take a look into this together. Can you verify the exact iOS version for us? Also, does restarting make a difference?",other,other,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
4900,Thu Nov 02 07:29:20 +0000 2017,@AppleSupport @116860 I have and my battery life has become even worse,@116861 Let's look into this further in DM. https://t.co/GDrqU22YpT,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2051350,Thu Oct 05 19:45:00 +0000 2017,@606643 @115858 @AppleSupport Since I’ve updated my music won’t play in my car!! 😡 Any ideas @AppleSupport ??? Sorry to jump on your tweet 😬 I’m thinking @1647 too 🤔,"@606642 Let's look into this together. To start, can you DM us any additional info on what you're experiencing? We'll start from there. https://t.co/GDrqU2kzhr",status_followup,status_followup,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
559223,Sat Dec 02 21:13:43 +0000 2017,@AppleSupport is Audioslave’s “Relavations” album not supposed to be on iTunes? It’s missing from the Canadian store.,@250691 We'd like to get you pointed in the best direction for assistance on this. Touch base with our iTunes Store team and they can better advise. Use this link https://t.co/IBIY3vMgPj and pick iTunes &amp; Apple Music &gt; iTunes Store,order_purchase,order_purchase,yes,5,Response directly addresses the stated issue with an actionable answer or appropriate resource. Intent corrected from weak suggestion to order_purchase based on the customer request.
2036881,Mon Nov 06 23:07:17 +0000 2017,Alright that’s it. How many times am I going to have to retype my messages till they stop erasing before I️ even send??? @AppleSupport,@477764 We can look into this with you. Send us a DM with what model iPhone &amp; iOS version you're working. We'll meet you there. https://t.co/GDrqU22YpT,other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
954247,Sat Oct 21 19:06:51 +0000 2017,"@AppleSupport The left corner of my screen is cracked, and I'm wanting a estimate on how much it is to get it fixed.","@346421 We're sorry to hear that. Check your warranty status, repair pricing, and repair options visit: https://t.co/nCtMNlEGjF",device_issue,device_issue,yes,5,Response directly addresses the stated issue with an actionable answer or appropriate resource.
1433718,Thu Nov 02 08:43:20 +0000 2017,"@AppleSupport uh, need some help here. https://t.co/xAl9WnCQ5S","@450014 Let's help! At what point do you receive that No Data Available error? When you access Game Center in Settings, does it not open?",other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2028671,Thu Oct 19 01:04:52 +0000 2017,"@AppleSupport It doesn't shut it off completely though, when I'm listening to music on the go it randomly turns on and im not even close to touching home",@599920 Let's take a closer look together. Please DM us and we can go from there. https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
518341,Sat Dec 02 01:09:15 +0000 2017,"@AppleSupport Have an iphone 7+ on ios 11.1.2 and it keeps restarting with the spinning wheel every minute or so... it's driving me nuts; how can i fix it??? I'm in Melbourne, Australia; the problem started last night.",@239551 Are all of your apps up to date on your phone? Let us know in a DM. https://t.co/GDrqU2kzhr,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1648463,Sun Nov 05 16:06:30 +0000 2017,Hey @AppleSupport why does my phone do the A ? all over social media when someone types “I️” ??? https://t.co/VWESZe0hLH,@503603 Great question. Is this happening with your device or are you only seeing it when someone else types? DM us. https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1133617,Sun Oct 15 16:04:50 +0000 2017,"@AppleSupport Doesn’t work in any format, video or in any apps.","@387111 OK, we're gong to need to move to DM where we have enough room to do this right. https://t.co/GDrqU22YpT",other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
302969,Sat Nov 25 03:26:37 +0000 2017,@115858 I’m annoyed my new iOS upgrade switches screen brightness at its own will. Did you not fix this?! Love: iPhone user since 2007 and never complained.,@188309 Auto-Brightness is enabled by default in iOS 11. You can disable it from Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Let us know in DM if you need further assistance with this. https://t.co/GDrqU22YpT,device_issue,device_issue,no,5,Response does not meaningfully address the customer’s stated issue.
2960102,Wed Nov 29 22:13:50 +0000 2017,"@299216 @AppleSupport I get that occasionally, and find it odd an entire ROOM is not responding…",@187099 Let us know in DM whether all devices are up to date and we'll get started. https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2127269,Wed Nov 08 15:27:44 +0000 2017,@115858 please correct the keyboard issue- #annoyed,"@543449 Fill us in via DM on the issue you're experiencing with your keyboard and on which device, then we can help out. https://t.co/GDrqU22YpT",other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1942532,Mon Oct 30 00:36:48 +0000 2017,"My phone lags so much, and the fucking video/sound is fucked smh get it together @115858",@577604 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1350635,Fri Oct 27 15:10:04 +0000 2017,#iOS 11.03... Why is my lock screen like this suddenly? @AppleSupport (looks like the system tray doesn’t know it is locked?) https://t.co/Rq4OHIb9vn,@434937 We can check out what's happening with your home screen. Let's pair up in DM to get a better look. https://t.co/GDrqU22YpT,account_access,account_access,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
56957,Wed Nov 01 19:17:15 +0000 2017,"@AppleSupport I’m trying to download WatchOS 4.1, but it’s frozen on “Estimating time remaining”. nothing’s happening. what do I do?","@128899 Thanks for reaching out! Take a look at the steps here under ""If you need help updating"": https://t.co/s6t9pl6tpv",device_issue,device_issue,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
